Customer_ID,Name,Gender,Age,Tenure,MonthlyCharges,SupportCalls,Churn
1001,Customer_1,Male,34,20,1279,1,No
1002,Customer_2,Female,26,113,814,0,Yes
1003,Customer_3,Male,50,61,536,2,No
1004,Customer_4,Male,70,106,647,4,Yes
1005,Customer_5,Male,37,35,926,1,No
1006,Customer_6,Female,30,50,1427,2,No
1007,Customer_7,Male,45,82,929,3,No
1008,Customer_8,Male,65,62,663,6,Yes
1009,Customer_9,Male,46,17,620,2,No
1010,Customer_10,Female,30,88,585,8,No
1011,Customer_11,Male,63,3,448,7,No
1012,Customer_12,Male,52,32,1407,3,No
1013,Customer_13,Male,23,99,705,0,No
1014,Customer_14,Male,35,102,1277,0,No
1015,Customer_15,Female,68,13,755,0,No
1016,Customer_16,Male,22,120,1099,0,No
1017,Customer_17,Female,64,111,1484,7,No
1018,Customer_18,Female,42,89,1312,2,No
1019,Customer_19,Female,19,73,1083,5,No
1020,Customer_20,Male,27,68,759,2,Yes
1021,Customer_21,Female,47,14,1037,4,Yes
1022,Customer_22,Male,67,101,808,6,No
1023,Customer_23,Female,62,98,780,1,No
1024,Customer_24,Female,22,11,413,5,No
1025,Customer_25,Female,50,105,1048,5,No
1026,Customer_26,Female,18,56,660,2,No
1027,Customer_27,Female,35,67,640,5,No
1028,Customer_28,Female,49,92,1069,4,Yes
1029,Customer_29,Female,64,29,1060,1,Yes
1030,Customer_30,Female,66,9,1268,8,No
1031,Customer_31,Male,28,67,748,7,Yes
1032,Customer_32,Male,38,25,1134,2,Yes
1033,Customer_33,Female,43,98,610,7,No
1034,Customer_34,Female,42,76,561,8,No
1035,Customer_35,Female,39,42,705,2,No
1036,Customer_36,Male,44,9,442,2,No
1037,Customer_37,Female,66,79,641,1,No
1038,Customer_38,Male,30,40,1424,7,Yes
1039,Customer_39,Male,50,25,543,0,Yes
1040,Customer_40,Male,51,5,789,7,No
1041,Customer_41,Male,58,11,311,6,No
1042,Customer_42,Male,52,59,860,6,No
1043,Customer_43,Female,18,98,341,2,Yes
1044,Customer_44,Female,38,88,977,0,No
1045,Customer_45,Female,65,79,893,3,No
1046,Customer_46,Female,23,38,1481,8,No
1047,Customer_47,Female,45,72,433,4,No
1048,Customer_48,Male,34,5,1390,0,No
1049,Customer_49,Female,22,48,1330,4,No
1050,Customer_50,Female,48,90,1247,7,No
1051,Customer_51,Male,22,18,372,7,No
1052,Customer_52,Female,55,70,698,4,No
1053,Customer_53,Male,20,37,877,8,No
1054,Customer_54,Female,70,60,1158,0,No
1055,Customer_55,Male,40,48,429,3,No
1056,Customer_56,Female,54,77,1230,2,No
1057,Customer_57,Female,70,28,565,1,No
1058,Customer_58,Male,54,69,1092,7,No
1059,Customer_59,Male,27,77,552,6,No
1060,Customer_60,Male,27,81,1121,8,No
1061,Customer_61,Male,36,114,463,1,No
1062,Customer_62,Male,34,40,394,3,No
1063,Customer_63,Male,38,45,1132,5,No
1064,Customer_64,Male,31,96,1433,2,No
1065,Customer_65,Male,26,62,635,7,No
1066,Customer_66,Female,63,93,1121,2,No
1067,Customer_67,Female,18,115,537,1,No
1068,Customer_68,Male,68,58,680,2,No
1069,Customer_69,Female,62,67,1198,5,Yes
1070,Customer_70,Female,30,56,782,1,No
1071,Customer_71,Female,21,40,1201,7,No
1072,Customer_72,Female,18,98,1348,0,No
1073,Customer_73,Male,66,40,1440,6,No
1074,Customer_74,Female,57,91,781,1,No
1075,Customer_75,Male,49,77,1216,5,Yes
1076,Customer_76,Female,51,109,1293,1,No
1077,Customer_77,Female,45,33,1263,1,No
1078,Customer_78,Female,48,6,836,7,No
1079,Customer_79,Male,25,88,1402,1,No
1080,Customer_80,Female,56,19,1496,6,Yes
